"Title","Continent","Habitat","has research problem","hypothesis","Indicator for enemy release","Investigated species","Number of species","Release of which kind of enemies?","Research Method","stand of hypothesis","Study date","Sub-hypothesis","type of experiment","Which species are compared?"
"Invasive plants and their escape from root herbivory: a worldwide comparison of the root-feeding nematode communities of the dune grass Ammophila arenaria in natural and introduced ranges","Africa, Europe, North-America, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Specialists","Observational or correlational","Undecided","2005","HAIs","Field","Aliens in native and invaded range"
"Invasive plants and their escape from root herbivory: a worldwide comparison of the root-feeding nematode communities of the dune grass Ammophila arenaria in natural and introduced ranges","Africa, Europe, North-America, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Questioned","2005","HAI","Field","Aliens in native and invaded range"
"Enemy release but no evolutionary loss of defence in a plant invasion: an inter-continental reciprocal transplant experiment","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2005","HAD","Field","Aliens in native and invaded range"
"Realized vs apparent reduction in enemies of the European starling ","Asia, Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Birds","1","no differentiation","Observational or correlational","Questioned","2005","HAI","Field","Aliens in native and invaded range"
"Herbivory, time since introduction and the invasiveness of exotic plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","39","no differentiation","Observational or correlational","Supported","2005","AND","Field","Aliens and natives"
"Invasive exotic plants suffer less herbivory than non-invasive exotic plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","9","no differentiation","Observational or correlational","Supported","2005","INiD","Field","Invasive and non-invasive aliens"
"Enemy release? An experiment with congeneric plant pairs and diverse above- and belowground enemies","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","15","no differentiation","Experimental","Undecided","2005","ANI","Enclosure","Aliens and natives"
"Enemy release? An experiment with congeneric plant pairs and diverse above- and belowground enemies","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","15","no differentiation","Experimental","Undecided","2005","AND","Enclosure","Aliens and natives"
"A comparison of native and introduced populations of the South African Ragwort Senecio inaequidens DC. in the field","Africa, Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Supported","2004","HAI","Field","Aliens in native and invaded range"
"Release from native root herbivores and biotic resistance by soil pathogens in a new habitat both affect the alien Ammophila arenaria in South Africa","Africa","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Undecided","2004","ANI","Field","Aliens and natives"
"Variation in herbivore damage to invasive and native woody plant species in open forest vegetation on Mahe, Seychelles","Africa","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","10","no differentiation","Observational or correlational","Supported","2004","AND","Field","Aliens and natives"
"Natural-enemy release facilitates habitat expansion of the invasive tropical shrub Clidemia hirta","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Undecided","2004","P HA","Enclosure","Aliens in native and invaded range"
"Natural-enemy release facilitates habitat expansion of the invasive tropical shrub Clidemia hirta","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Undecided","2004","HAD","Enclosure","Aliens in native and invaded range"
"Herbivory, disease, recruitment limitation, and success of alien and native tree species","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2003","P AN","Enclosure","Aliens and natives"
"Herbivory, disease, recruitment limitation, and success of alien and native tree species","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Experimental","Supported","2003","AND","Enclosure","Aliens and natives"
"Plant-soil biota interactions and spatial distribution of black cherry in its native and invasive ranges","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Supported","2003","P HA","Lab","Aliens in native and invaded range"
"Release of invasive plants from fungal and viral pathogens","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","473","no differentiation","Observational or correlational","Supported","2003","HAI","Field","Aliens in native and invaded range"
"Herbivorous arthropod community of an alien weed Solanum carolinense L.","Asia, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Specialists","Observational or correlational","Supported","2003","HAIs","Field","Aliens in native and invaded range"
"Diversity and abundance patterns of phytophagous insect communities on alien and native host plants in the Brassicaceae","Europe","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","41","no differentiation","Observational or correlational","Questioned","2003","ANI","Field","Aliens and natives"
"Invasiveness of Ammophila arenaria: Release from soil-borne pathogens?","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","1","no differentiation","Experimental","Questioned","2003","P A","Lab","Only aliens"
"Invasiveness of Ammophila arenaria: Release from soil-borne pathogens?","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Experimental","Supported","2003","HAI","Lab","Aliens in native and invaded range"
"Herbivores and the success of exotic plants: a phylogenetically controlled experiment","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","15","no differentiation","Experimental","Questioned","2003","AND","Enclosure","Aliens and natives"
"Why Alien Invaders Succeed: Support for the Escape-from-Enemy Hypothesis","Europe, North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","1","no differentiation","Observational or correlational","Supported","2002","HAD","Field","Aliens in native and invaded range"
"Release from parasites as natural enemies: increased performance of a globally introduced marine crab","Africa, Europe, North-America, Oceania","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Crustaceans","1","no differentiation","Observational or correlational","Supported","2001","HAI","Field","Aliens in native and invaded range"
"Release from parasites as natural enemies: increased performance of a globally introduced marine crab","Africa, Europe, North-America, Oceania","Marine","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Crustaceans","1","no differentiation","Observational or correlational","Questioned","2001","HAD","Field","Aliens in native and invaded range"
"Impact of fire on leaf nutrients, arthropod fauna and herbivory of native and exotic eucalypts in Kings Park, Perth, Western Australia","Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Damage","Plants","2","no differentiation","Observational or correlational","Questioned","2001","AND","Field","Aliens and natives"
"Lack of pre-dispersal seed predators in introduced Asteraceae in New Zealand","Europe, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","13","no differentiation","Observational or correlational","Supported","2001","HAI","Field","Aliens in native and invaded range"
"Post-dispersal losses to seed predators: an experimental comparison of native and exotic old field plants","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","21","no differentiation","Experimental","Questioned","2001","P AN","Enclosure","Aliens and natives"
"Effects of fungal pathogens on seeds of native and exotic plants: a test using congeneric pairs ","North-America","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Performance","Plants","15","no differentiation","Experimental","Questioned","2001","P AN","Enclosure","Aliens and natives"
"The invertebrate fauna on broom, Cytisus scoparius, in two native and two exotic habitats ","Europe, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","Generalists","Observational or correlational","Questioned","2000","HAIg","Field","Aliens in native and invaded range"
"The invertebrate fauna on broom, Cytisus scoparius, in two native and two exotic habitats ","Europe, Oceania","Terrestrial","Testing the enemy release hypothesis in invasion biology","Enemy release","Infestation","Plants","1","no differentiation","Observational or correlational","Supported","2000","HAI","Field","Aliens in native and invaded range"
